event_id,symbol,event_date,category,provider_evidence,symbol_resolves,event_window_available,databento_schema,databento_records,delisted_history_signal,corporate_action_crosscheck,halt_suspension_signal,polygon_crosscheck_available,severity,verdict,notes
DPE-001,TUP,2024-09-18,delisting_suspension,Databento Historical,yes,yes,ohlcv-1d,2,partial,not_tested,not_tested,no,critical,caveat,Databento daily bars available; delisting history partial; no reference confirmation
DPE-002,MULN,2023-12-21,reverse_split,Databento Historical + Polygon Free,yes,yes,ohlcv-1m,5,not_applicable,polygon_split_row_present,not_tested,yes,high,caveat,Polygon split row present but Databento adjusted/raw split handling blocked by Reference subscription
DPE-003,CNGL,2024-06-27,trading_halt,Databento Historical,yes,yes,ohlcv-1d,4,not_applicable,not_applicable,partial_definition_only,no,high,caveat,OHLCV available but halt metadata not validated
DPE-004,ABAT,2024-12-26,offering_dilution,Databento Historical,yes,yes,ohlcv-1m,5,not_applicable,not_tested,not_applicable,no,medium,caveat,OHLCV event window available; offering metadata not covered by current providers
DPE-005,WEYS,2024-11-05,special_dividend,Databento Historical + Polygon Free,yes,yes,ohlcv-1d,8,not_applicable,polygon_dividend_rows_present,not_applicable,yes,medium,caveat,Polygon dividend rows present but adjusted/raw dividend coherence blocked by Reference subscription
DPE-006,FSR,2024-03-25,second_delisting_suspension,Databento Historical + Polygon Free,yes,yes,trades+ohlcv-1m,10+5,partial,polygon_ticker_details_present,not_tested,yes,critical,caveat,Databento trades/OHLCV and Polygon ticker details available; delisting/security-master still partial
DPE-007,PHUN,2024-02-27,second_reverse_split,Databento Historical,yes,yes,ohlcv-1m,5,not_applicable,not_tested,not_applicable,no,high,caveat,OHLCV available; split reference not probed in Polygon micro-probe and adjusted factors blocked
DPE-008,GH,2024-05-23,second_trading_halt,Databento Historical,yes,yes,ohlcv-1d,6,not_applicable,not_applicable,partial_definition_only,no,high,caveat,OHLCV available around halt; no dedicated halt feed validated
DPE-009,ICU,2024-07-10,second_offering_dilution,Databento Historical,yes,yes,ohlcv-1m,2,not_applicable,not_tested,not_applicable,no,medium,caveat,OHLCV window sparse but available; offering metadata not covered
DPE-010,DWAC_DJT,2024-03-26,ticker_change_spac_merger,Databento Historical + Polygon Free,yes,yes,ohlcv-1d+ohlcv-1m,3+5,not_applicable,polygon_ticker_details_present,not_applicable,yes,high,caveat,DWAC/DJT OHLCV and DJT ticker details present; full identifier continuity remains partial
