action,rationale
provider_query,This policy gate consumes archived decisions only.
market_data_download,No price download is needed for a governance decision.
raw_payload_retention,Raw provider payload retention remains forbidden.
run_strategy_backtest,This policy gate does not run a strategy.
run_broad_survivorship_free_backtest,Current data stack lacks delisted listing dates.
survivorship_free_claim,Active-only samples are survivorship-biased by construction.
parameter_sweep,No tuning is authorized.
short_selling,The lab remains long-only.
paper_trading,No execution is authorized.
live_trading,No execution is authorized.
strategy_promotion,Exploratory active-only research cannot promote alpha.
