action,status,reason
create_live_approval_directory,blocked,Theoretical review is not an approval.
create_output_directory,blocked,Requires explicit approval after review.
create_trial_ledger_entry,blocked,Requires explicit approval after review.
execute_probe,blocked,Requires passing execution preflight.
query_provider,blocked,No provider query authorized by theoretical review.
save_raw_payload,blocked,Raw payload retention remains forbidden.
implement_extractor,blocked,Probe must first test metadata shape.
run_oos,blocked,No OOS execution in scope.
paper_trading,blocked,No executable strategy exists.
live_trading,blocked,No executable strategy exists.
strategy_promotion,blocked,No validated strategy exists.
