action,rationale
provider_query,This method gate consumes only archived derived metadata.
market_data_download,No price data is needed to validate membership logic.
raw_payload_retention,Raw provider payload retention remains forbidden.
run_broad_universe_backtest,Sample membership construction is not a broad PIT universe.
run_strategy_backtest,No alpha trial is authorized.
parameter_sweep,No tuning is authorized.
short_selling,The lab remains long-only.
paper_trading,No execution is authorized.
live_trading,No execution is authorized.
strategy_promotion,Membership construction is not alpha evidence.
