candidate_id,hypothesis,market_mechanism,required_data,provider_dependency,cost_realism,primary_failure_mode,minimum_probe,blocked_until,priority_score,decision
ALPHA-009,"Outlier-resistant cross-sectional ranking using median trade contribution, not total PnL.",Robust estimators reduce dependence on one explosive small-cap winner.,Existing trade logs + candidate logs,available_existing_artifacts,not_strategy,May only make bad strategies fail faster.,"Run on historical artifacts as diagnostics, no new market data.",Diagnostic-only harness,82,best_diagnostic_probe
ALPHA-003,Dollar-bar version of opening reclaim reduces time-bar noise before strategy logic.,Variance stabilization by sampling on traded notional instead of clock time.,Databento trades or 1m bars with dollar volume; no L3 required,requires_trade_or_bar_data,medium,Dollar bars improve estimation but do not create alpha by themselves.,Build transformer on stored bars and compare distribution diagnostics only.,No strategy signal until data transform validator exists,78,best_infrastructure_probe
ALPHA-010,Cooldown and BAD_WIN exclusion improve live survivability but do not create alpha.,Execution psychology can be enforced as code.,Trade governance runtime logs,available_local_runtime,not_strategy,Governance reduces errors but cannot rescue negative expectancy.,Integrate governance tags into future post-run validator.,No broker integration,76,best_governance_integration
ALPHA-008,Provider sensitivity arbitrage is not alpha but can identify data-fragile hypotheses early.,Signals that flip across providers are likely data artifacts.,Databento + Polygon/other overlap summaries,available_partial_overlap,not_strategy,"Becomes a meta-test, not a return source.",Add provider fragility score to candidate ranking.,No trading allowed,73,meta_infrastructure_probe
ALPHA-007,Same-day bad-news fade avoidance: no long reversion if SEC event is fundamental break.,"Some gap-downs are breakaway repricings, not overreaction.",SEC 8-K item taxonomy + RTH bars,sec_available_price_available,strict_500bps,"Event taxonomy too coarse to distinguish fraud, dilution, and earnings.",Classifier-free rule audit on SEC item codes only.,No NLP or return-inferred labels,71,research_filter_probe
ALPHA-004,Amihud illiquidity filter separates tradable small-cap drifts from cost traps.,Illiquidity premium exists but can be untradeable unless capacity is modeled.,Daily OHLCV with dollar volume + corporate action caveats,available_caveated_daily,strict_capacity_required,Illiquid winners vanish after impact and spread.,Compute Amihud distributions only; no entry signal.,Provider coverage contract for daily data,69,research_feature_probe
ALPHA-011,Macro-regime switch disables high-beta small-cap signals during stress.,Small-cap anomalies can invert when liquidity regime breaks.,IWM/VIX/breadth + strategy candidate logs,available_partial_indices,medium,Regime filter overfits and removes all sample size.,Spec-only ablation on existing failed trials.,No threshold chosen from OOS PnL,66,research_filter_probe
ALPHA-006,Biotech pre-catalyst drift exits before binary readout to avoid coin-flip exposure.,Speculative positioning into known FDA/PDUFA or clinical readout windows.,Biotech catalyst calendar + prices + options/liquidity optional,blocked_requires_catalyst_calendar,high,Calendar incomplete or single-asset blowups dominate.,Provider/source audit for PDUFA/readout calendar only.,Catalyst calendar quality gate,64,blocked_provider_dependency
ALPHA-001,Post-earnings SUE drift on small-cap earnings with official point-in-time consensus.,Slow information diffusion after earnings surprise.,SEC EDGAR Item 2.02 timestamps + PIT consensus/actual EPS + RTH bars,blocked_requires_pit_sue_provider,high,No entitlement to SUE provider or costs consume drift.,"One-call SUE schema probe on CRMD, no backtest.",PIT SUE provider entitlement verified,62,blocked_provider_dependency
ALPHA-005,Quality-filtered small-cap momentum avoids junk-driven size anomaly decay.,Size premium reappears after excluding low-quality firms.,Fundamental quality fields + PIT market cap + prices,blocked_requires_fundamental_provider,medium_high,"Quality fields are stale, non-PIT, or survivorship-biased.",Provider schema entitlement probe for PIT fundamentals.,PIT fundamentals provider verified,58,blocked_provider_dependency
ALPHA-002,Opening reclaim after RTH-native gap-down only if spread-adjusted edge survives 500 bps.,Intraday overreaction and liquidity absorption after regular-session dislocation.,Existing Databento RTH bars + spread proxy + cost model,available_partial_intraday_bars,strict_500bps,Gross edge exists but is too thin after taker costs.,Spec-only cost sensitivity using already stored mini-panel outputs.,Cost realism gate already mandatory,54,archive_or_low_priority_probe
ALPHA-012,Order-flow absorption trigger for gap-downs using L3/L2 replaces VWAP reclaim.,Passive institutional absorption can reveal exhaustion of forced selling.,Databento MBO/MBP or equivalent order-book feed,blocked_requires_l2_l3_data_budget,high_infrastructure_cost,Data volume and compute cost exceed current lab scope.,"Spec-only order-book data contract, no download.",Order-book budget and parser plan,49,defer_year_2
