event_id,symbol,company_name,cik,drug_or_asset,indication,event_type,event_date,event_date_precision,discovery_source,discovery_url,pre_event_proof_url,pre_event_proof_published_date,pit_proof_status,outcome_status,outcome_date,outcome_source_url,negative_retention_flag,delisted_or_acquired_status,admissibility_label,notes
HYB-PDUFA-001,SUPN,Supernus Pharmaceuticals,,SPN-830,Parkinson disease OFF episodes,PDUFA,2025-02-01,exact,search_result,https://www.globenewswire.com/news-release/2024/08/19/2932017/19871/en/Supernus-Announces-SPN-830-Apomorphine-Infusion-Device-NDA-Accepted-for-Review-by-FDA.html,https://www.globenewswire.com/news-release/2024/08/19/2932017/19871/en/Supernus-Announces-SPN-830-Apomorphine-Infusion-Device-NDA-Accepted-for-Review-by-FDA.html,2024-08-19,pass,unknown,,https://www.globenewswire.com/news-release/2024/08/19/2932017/19871/en/Supernus-Announces-SPN-830-Apomorphine-Infusion-Device-NDA-Accepted-for-Review-by-FDA.html,false,active,admissible_event,Pre-event PDUFA proof exists outcome not audited in this tiny panel.
HYB-PDUFA-002,KALV,KalVista Pharmaceuticals,,sebetralstat,Hereditary angioedema,PDUFA_DELAY,2025-06-17,exact,search_result,https://kalvista.gcs-web.com/news-releases/news-release-details/kalvista-announces-fda-acceptance-new-drug-application/,https://kalvista.gcs-web.com/news-releases/news-release-details/kalvista-announces-fda-acceptance-new-drug-application/,2024-11-21,pass,delayed,2025-06-13,https://ir.kalvista.com/news-releases/news-release-details/kalvista-pharmaceuticals-announces-fda-will-not-meet-pdufa-goal/,true,active,admissible_event,Initial PDUFA known before event and later delay retained.
HYB-PDUFA-003,FBIO,Fortress Biotech,,CUTX-101,Menkes disease,PDUFA_CRL,2025-06-30,exact,search_result,https://www.globenewswire.com/news-release/2025/01/06/3004566/28889/en/fortress-biotech-and-cyprium-therapeutics-announce-u-s-fda-acceptance-and-priority-review-of-nda-for-cutx-101-for-treatment-of-menkes-disease.html,https://www.globenewswire.com/news-release/2025/01/06/3004566/28889/en/fortress-biotech-and-cyprium-therapeutics-announce-u-s-fda-acceptance-and-priority-review-of-nda-for-cutx-101-for-treatment-of-menkes-disease.html,2025-01-06,pass,CRL,2025-09-30,https://www.globenewswire.com/news-release/2025/12/15/3205379/0/en/Fortress-Biotech-and-Cyprium-Therapeutics-Announce-FDA-Acceptance-of-CUTX-101-NDA-Resubmission.html,true,active,admissible_event,Later resubmission release references prior CRL.
HYB-PDUFA-004,REPL,Replimune Group,,RP1,Advanced melanoma,PDUFA_CRL,2025-07-22,exact,search_result,https://www.globenewswire.com/news-release/2025/01/21/3012616/0/en/Replimune-Announces-Biologics-License-Application-Acceptance-and-Priority-Review-for-RP1-for-the-Treatment-of-Advanced-Melanoma.html,https://www.globenewswire.com/news-release/2025/01/21/3012616/0/en/Replimune-Announces-Biologics-License-Application-Acceptance-and-Priority-Review-for-RP1-for-the-Treatment-of-Advanced-Melanoma.html,2025-01-21,pass,CRL,2025-07-22,https://replimune.gcs-web.com/news-releases/news-release-details/replimune-reports-fiscal-first-quarter-2026-financial-results,true,active,admissible_event,CRL outcome retained by company update.
HYB-PDUFA-005,TNXP,Tonix Pharmaceuticals,,TNX-102 SL,Fibromyalgia,PDUFA,2025-08-15,exact,search_result,https://ir.tonixpharma.com/news-events/press-releases/detail/1542/tonix-pharmaceuticals-announces-pdufa-goal-date-of-august,https://ir.tonixpharma.com/news-events/press-releases/detail/1542/tonix-pharmaceuticals-announces-pdufa-goal-date-of-august,2025-01-29,pass,unknown,,https://ir.tonixpharma.com/news-events/press-releases/detail/1542/tonix-pharmaceuticals-announces-pdufa-goal-date-of-august,false,active,admissible_event,Pre-event PDUFA proof exists outcome not audited in this tiny panel.
HYB-PDUFA-006,CAPR,Capricor Therapeutics,,deramiocel,Duchenne muscular dystrophy cardiomyopathy,PDUFA_CRL,2025-08-31,exact,search_result,https://www.capricor.com/investors/sec-filings/all-sec-filings/content/0001558370-25-003304/0001558370-25-003304.pdf,https://www.capricor.com/investors/sec-filings/all-sec-filings/content/0001558370-25-003304/0001558370-25-003304.pdf,2025-03-19,pass,CRL,2025-07-18,https://www.capricor.com/investors/news-events/press-releases/detail/323/capricor-therapeutics-reports-second-quarter-2025-financial,true,active,admissible_event,SEC filing proves PDUFA date and later company update references CRL.
HYB-PDUFA-007,AGIO,Agios Pharmaceuticals,,PYRUKYND,Thalassemia,PDUFA_DELAY,2025-09-07,exact,search_result,https://investor.agios.com/news-releases/news-release-details/fda-accepts-agios-supplemental-new-drug-application-pyrukyndr,https://investor.agios.com/news-releases/news-release-details/fda-accepts-agios-supplemental-new-drug-application-pyrukyndr,2025-01-08,pass,delayed,2025-09-04,https://www.nasdaq.com/press-release/agios-provides-update-us-pdufa-goal-date-pyrukyndr-mitapivat-thalassemia-2025-09-04,true,active,admissible_event,PDUFA later extended by three months.
HYB-PDUFA-008,GKOS,Glaukos Corporation,,Epioxa,Keratoconus,PDUFA,2025-10-20,exact,search_result,https://investors.glaukos.com/news/news-details/2025/Glaukos-Announces-FDA-Acceptance-of-NDA-Submission-for-Epioxa/default.aspx,https://investors.glaukos.com/news/news-details/2025/Glaukos-Announces-FDA-Acceptance-of-NDA-Submission-for-Epioxa/default.aspx,2025-04-21,pass,unknown,,https://investors.glaukos.com/news/news-details/2025/Glaukos-Announces-FDA-Acceptance-of-NDA-Submission-for-Epioxa/default.aspx,false,active,admissible_event,Pre-event PDUFA proof exists outcome not audited in this tiny panel.
HYB-PDUFA-009,SNDX,Syndax Pharmaceuticals,,Revuforj revumenib,Relapsed refractory mNPM1 AML,PDUFA,2025-10-25,exact,search_result,https://www.globenewswire.com/news-release/2025/06/24/3104643/0/en/Syndax-Announces-FDA-Priority-Review-of-sNDA-for-Revuforj-revumenib-in-Relapsed-or-Refractory-mNPM1-Acute-Myeloid-Leukemia.html,https://www.globenewswire.com/news-release/2025/06/24/3104643/0/en/Syndax-Announces-FDA-Priority-Review-of-sNDA-for-Revuforj-revumenib-in-Relapsed-or-Refractory-mNPM1-Acute-Myeloid-Leukemia.html,2025-06-24,pass,unknown,,https://www.globenewswire.com/news-release/2025/06/24/3104643/0/en/Syndax-Announces-FDA-Priority-Review-of-sNDA-for-Revuforj-revumenib-in-Relapsed-or-Refractory-mNPM1-Acute-Myeloid-Leukemia.html,false,active,admissible_event,Pre-event PDUFA proof exists outcome not audited in this tiny panel.
HYB-PDUFA-010,MIST,Milestone Pharmaceuticals,,CARDAMYST etripamil,Paroxysmal supraventricular tachycardia,PDUFA,2025-12-13,exact,search_result,https://www.globenewswire.com/news-release/2025/07/11/3113902/0/en/milestone-pharmaceuticals-announces-fda-acceptance-of-the-company-s-response-to-the-crl-for-cardamyst-etripamil-nasal-spray.html,https://www.globenewswire.com/news-release/2025/07/11/3113902/0/en/milestone-pharmaceuticals-announces-fda-acceptance-of-the-company-s-response-to-the-crl-for-cardamyst-etripamil-nasal-spray.html,2025-07-11,pass,unknown,,https://www.globenewswire.com/news-release/2025/07/11/3113902/0/en/milestone-pharmaceuticals-announces-fda-acceptance-of-the-company-s-response-to-the-crl-for-cardamyst-etripamil-nasal-spray.html,false,active,admissible_event,Resubmission after prior CRL with new PDUFA.
