source,source_type,access_status,official_or_third_party,what_it_can_help_with,pit_risk,retention_risk,initial_status,source_url
FDA openFDA Drugs@FDA,official_api,free,official,approval_records_and_post_event_verification,high_for_pre_event_calendar_because_not_a_PDUFA_schedule,medium,verification_source_only,https://open.fda.gov/apis/drug/drugsfda/
ClinicalTrials.gov API,official_api,free,official,trial_metadata_phase_sponsor_completion_dates,high_for_PDUFA_decision_timing,medium_due_trial_registration_scope,verification_and_context_source_only,https://clinicaltrials.gov/data-api/api
FDA public calendars,official_web,free,official,FDA_meetings_and_public_activity_context,high_not_a_product_specific_PDUFA_calendar,high_for_trading_events,context_only,https://www.fda.gov/news-events/public-calendar-meetings-fda-officials
Company_press_releases,issuer_web,free,issuer,source_timestamp_for_company_announced_PDUFA_dates,medium_requires_archived_capture_and_missing_negative_PR_audit,high_if_only_known_winners_collected,candidate_if_archive_proof_exists,issuer_specific
SEC_EDGAR_8K_or_10Q_or_S1,official_api,free,official,legal_timestamp_and_disclosed_catalyst_mentions,medium_not_all_PDUFA_dates_are_filed,medium,candidate_supporting_evidence,https://www.sec.gov/search-filings/edgar-application-programming-interfaces
BioPharmCatalyst_or_BPIQ_calendar,freemium_calendar,free_or_paid_trial,third_party,PDUFA_and_biotech_event_discovery,unknown_until_archive_policy_audited,unknown_until_failed_delayed_events_audited,non_promotable_pending_audit,https://www.biopharmcatalyst.com/calendars/pdufa-calendar
PDUFA.BIO,public_calendar,free_public_pages,third_party,current_or_future_PDUFA_discovery,unknown_until_historical_archive_policy_audited,unknown_until_failed_delayed_events_audited,non_promotable_pending_audit,https://www.pdufa.bio/
Dan_Sfera_biotech_calendar,public_calendar,free_public_pages,third_party,current_or_future_biotech_catalyst_discovery,unknown_until_historical_archive_policy_audited,unknown_until_failed_delayed_events_audited,non_promotable_pending_audit,https://dansfera.com/
Internet_Archive_for_source_pages,archive_tool,free,third_party,proof_that_a_page_contained_event_before_event_date,medium_capture_frequency_may_be_sparse,medium,candidate_timestamp_evidence,https://web.archive.org/

