provider,access_type,cost_status,free_or_trial_terms,approved_use,not_approved_for,component_fit,next_action
Norgate Data,desktop_updater_and_python_package,trial_active_if_user_enabled,3_week_trial_with_2_year_history_for_stock_packages,daily_survivor_aware_prices_delisted_historical_constituents,long_history_promotion_or_intraday_or_catalyst_direction,Momentum;Mean Reversion,continue_daily_subset_diagnostics_only
SEC EDGAR,official_public_api,free,no_key_required_public_filings,filing_timestamps_8k_form4_s1_13d_companyfacts,earnings_consensus_or_biotech_outcome_direction,Catalyst_supporting_evidence,build_filing_enrichment_only
Databento,historical_market_data_api,trial_credits,signup_credits_for_bounded_historical_queries,intraday_trades_quotes_mbo_dollarbar_probe,survivorship_free_daily_universe_or_catalyst_direction,Dollar-Bar Microstructure,create_pre_run_query_gate_before_any_call
Alpha Vantage,api_key,free_limited,free_key_available,exploratory_earnings_schema_smoke_tests,PEAD_promotion_without_PIT_revision_metadata,Catalyst_exploration_only,keep_blocked_for_promotion
Nasdaq Data Link,api_and_dataset_marketplace,mixed_free_and_premium,free_datasets_and_premium_samples,provider_discovery_and_dataset_samples,assuming_premium_estimates_are_available_without_entitlement,Catalyst_exploration_only,scan_specific_dataset_entitlements_before_use
FactSet PIT Estimates,commercial_platform,demo_or_paid,free_trial_or_demo_by_request,point_in_time_consensus_for_earnings_surprise,order_book_or_intraday_reconstruction,Catalyst_PEAD_direction,request_demo_only_with_field_list
LSEG IBES,commercial_data_feed,demo_or_paid,enterprise_trial_possible_by_request,institutional_estimates_actuals_consensus_history,order_book_or_intraday_reconstruction,Catalyst_PEAD_direction,request_demo_only_with_field_list
Citeline BioMedTracker,commercial_biotech_intelligence,demo_or_paid,demo_by_request,biotech_catalyst_calendar_and_clinical_context,stock_price_history_or_order_book,Catalyst_biotech_direction,request_demo_if_PDUFA_sleeve_is_prioritized
Evaluate Pharma,commercial_pharma_intelligence,demo_or_paid,demo_by_request,pharma_pipeline_forecasts_and_catalyst_context,stock_price_history_or_order_book,Catalyst_biotech_direction,request_demo_if_PDUFA_sleeve_is_prioritized
Public FDA_or_company_PR_or_PDUFA_calendars,public_web_sources,free_or_freemium,varies_by_source,manual_exploratory_event_discovery,promotion_without_PIT_completeness_audit,Catalyst_exploration_only,allow_only_as_non_promotable_research_input

