source,manual_evidence_observed,pit_timestamp_result,negative_retention_result,delisted_retention_result,machine_access_result,verdict,notes
FDA openFDA Drugs@FDA,Official free API documents approved products and approval records,FAIL_for_pre_event_calendar,PARTIAL_post_event_records_only,UNKNOWN,API_available,VERIFICATION_ONLY,Useful to verify approvals after the fact but not a point-in-time PDUFA trading calendar.
ClinicalTrials.gov API,Official free API provides trial records and trial metadata,FAIL_for_PDUFA_decision_calendar,PARTIAL_trial_scope_limited,UNKNOWN,API_available,VERIFICATION_AND_CONTEXT_ONLY,Useful for trial context but not sufficient for FDA decision timing or PDUFA event direction.
FDA public calendars,Official FDA public calendars are meeting/activity calendars,FAIL_for_product_specific_PDUFA,FAIL_not_event_universe,UNKNOWN,web_available,CONTEXT_ONLY,Not a product-specific tradable PDUFA calendar.
SEC EDGAR,Official filings can timestamp issuer disclosures when companies file PDUFA-related releases,PARTIAL_event_level_timestamp,PARTIAL_only_if_filed,PARTIAL_company_history_available,API_available,SUPPORTING_EVIDENCE_ONLY,Good legal timestamp layer but cannot guarantee complete catalyst universe.
Company press releases,Issuer pages can show pre-event PDUFA date announcements such as Agios Jan 8 2025 for Sept 7 2025,PARTIAL_event_level_timestamp,FAIL_universe_incomplete,FAIL_no_complete_delisted_policy,web_available,EVENT_LEVEL_PROOF_ONLY,Can validate individual event date knowledge but not complete unbiased panels.
BioPharmCatalyst/BPIQ historical report,Public page says historical report includes target dates extensions CRLs and AdCom votes but free view is limited,UNKNOWN_until_report_or_trial_export,PARTIAL_claims_CRLs_extensions,UNKNOWN,limited_public_page,COMMERCIAL_OR_TRIAL_CANDIDATE,Promising because it mentions CRLs/extensions but free page does not prove full PIT/export.
PDUFA.BIO,Public page claims PDUFA calendar CSV export and 2200+ historical FDA decisions,UNKNOWN_until_export_and_archive_audit,UNKNOWN,UNKNOWN,limited_or_forbidden_calendar_access,TRIAL_CANDIDATE_NOT_PROMOTABLE,Promising but needs export sample retention and timestamp audit.
CatalystAlert,Public page claims 27079 events tracked and official-source links plus confidence ratings,UNKNOWN_until_free_trial_export,UNKNOWN,UNKNOWN,free_trial_candidate,TRIAL_CANDIDATE_NOT_PROMOTABLE,Promising discovery source but includes AI-detected/estimated dates and disclaimers; needs audit.
Dan Sfera calendar,Public page shows historical/current/future catalyst rows with outcomes,UNKNOWN_until_archive_export_audit,PARTIAL_visible_outcomes,UNKNOWN,web_page_available,DISCOVERY_ONLY,Useful for manual discovery but no observed stable PIT/export/retention contract.
BiotechEdge,Public page says data from SEC EDGAR and ClinicalTrials.gov and tracks outcomes,UNKNOWN_until_archive_export_audit,PARTIAL_claims_outcome_labels,UNKNOWN,web_page_available,DISCOVERY_ONLY,Useful for discovery; source methodology does not by itself satisfy PIT completeness.

