event_id,symbol,event_date,company_name,outcome_status,reasons
EXP-PDUFA-015,TLX.AX,2025-08-27,Telix Pharmaceuticals,unknown,local_price_not_loaded|date_aware_mapping_not_pass|private_or_nonstandard_symbol
EXP-PDUFA-017,ATRA,2025-01-15,Atara Biotherapeutics,CRL,not_active_public_equity_status|date_aware_mapping_not_pass
EXP-PDUFA-018,KRTX,2024-09-26,Karuna Therapeutics,approved,local_price_not_loaded|not_active_public_equity_status|date_aware_mapping_not_pass
EXP-PDUFA-019,DCPH,2025-02-17,Deciphera Pharmaceuticals,approved,local_price_not_loaded|not_active_public_equity_status|date_aware_mapping_not_pass
EXP-PDUFA-022,UNCY,2026-06-29,Unicycive Therapeutics,unresolved,event_after_as_of
EXP-PDUFA-023,ORCA-PRIVATE,2026-04-06,Orca Bio,unresolved,local_price_not_loaded|not_active_public_equity_status|date_aware_mapping_not_pass|private_or_nonstandard_symbol
EXP-PDUFA-024,VRDN,2026-06-30,Viridian Therapeutics,unresolved,event_after_as_of
EXP-PDUFA-025,VERA,2026-07-07,Vera Therapeutics,unresolved,event_after_as_of
EXP-PDUFA-026,SVRA,2026-08-22,Savara,delayed,event_after_as_of
EXP-PDUFA-028,IONS,2026-09-22,Ionis Pharmaceuticals,unresolved,event_after_as_of
EXP-PDUFA-029,BBIO,2026-11-27,BridgeBio Pharma,unresolved,event_after_as_of
EXP-PDUFA-030,COGT,2026-11-30,Cogent Biosciences,unresolved,event_after_as_of
EXP-PDUFA-031,VRTX,2026-11-30,Vertex Pharmaceuticals,unresolved,event_after_as_of|not_active_public_equity_status|date_aware_mapping_not_pass
EXP-PDUFA-032,RARE,2026-08-23,Ultragenyx Pharmaceutical,unresolved,event_after_as_of
EXP-PDUFA-033,SAVA,2024-11-25,Cassava Sciences,failed,not_admissible_event|pit_proof_not_pass|local_price_not_loaded
EXP-PDUFA-034,MNKD,2026-07-26,MannKind,unresolved,event_after_as_of
