symbol,signal_date,entry_date,exit_date,pnl,top3_flag,known_catalyst_before_entry,known_catalyst_during_trade,catalyst_type,primary_source_url,secondary_source_url,interpretation
CRMD,2024-12-31,2025-01-02,2025-02-04,29862.620437243768,false,true,true,commercial_rollout;preliminary_results,https://cormedix.com/cormedix-inc-announces-preliminary-fourth-quarter-2024-results-and-provides-business-update/,https://cormedix.com/cormedix-inc-reports-fourth-quarter-and-full-year-2024-financial-results-and-provides-business-update/,"Entry preceded Jan 7 preliminary Q4 update, but DefenCath commercial rollout was already observable. Positive trade appears catalyst-adjacent, not clean generic momentum."
CRMD,2025-01-31,2025-02-03,2025-03-05,-1232.3954607856042,false,true,false,commercial_rollout,https://cormedix.com/cormedix-inc-announces-preliminary-fourth-quarter-2024-results-and-provides-business-update/,https://cormedix.com/cormedix-inc-reports-fourth-quarter-and-full-year-2024-financial-results-and-provides-business-update/,"Known DefenCath rollout/preliminary Q4 narrative existed before entry, but no obvious new issuer catalyst was found during the holding window. Small loss."
CRMD,2025-02-28,2025-03-03,2025-04-01,-52688.381603403446,false,true,true,earnings_results;commercial_rollout,https://cormedix.com/cormedix-inc-to-report-fourth-quarter-and-full-year-2024-financial-results-and-provide-a-corporate-update-on-march-25-2025/,https://cormedix.com/cormedix-inc-reports-fourth-quarter-and-full-year-2024-financial-results-and-provides-business-update/,"Known commercial rollout was observable before entry and FY2024 results occurred during the trade. Large loser despite catalyst, which argues against simple catalyst equals profit."
CRMD,2025-03-31,2025-04-01,2025-05-01,45929.72756560821,true,true,true,earnings_results;commercial_rollout,https://cormedix.com/cormedix-inc-reports-fourth-quarter-and-full-year-2024-financial-results-and-provides-business-update/,https://cormedix.com/cormedix-inc-to-report-first-quarter-2025-financial-results-and-provide-a-corporate-update-on-may-6-2025/,"Top winner. FY2024 results and DefenCath sales evidence were public before entry; Q1 reporting schedule was announced during trade. Candidate PEAD/commercial rollout drift, but sample is single-name concentrated."
CRMD,2025-04-30,2025-05-01,2025-06-02,46861.70337253189,true,true,true,guidance_preliminary_results;earnings_results,https://cormedix.com/cormedix-inc-announces-preliminary-first-quarter-2025-results-and-raises-h1-2025-net-sales-guidance/,https://cormedix.com/cormedix-inc-reports-first-quarter-2025-financial-results-and-provides-business-update/,"Top winner. Preliminary Q1 and raised H1 sales guidance were public before entry; formal Q1 results occurred during trade. Strongest ex-ante catalyst evidence among CRMD trades."
CRMD,2025-05-30,2025-06-02,2025-07-02,-7703.904096865931,false,true,true,commercial_rollout;guidance_raise,https://cormedix.com/cormedix-inc-reports-first-quarter-2025-financial-results-and-provides-business-update/,https://cormedix.com/cormedix-inc-announces-customer-implementation/,"Q1 strength was public before entry and LDO customer implementation/guidance raise occurred during trade. Trade still lost, so catalyst exposure alone is not sufficient."
CRMD,2025-06-30,2025-07-01,2025-07-31,-9846.473522816112,false,true,false,commercial_rollout;guidance_raise,https://cormedix.com/cormedix-inc-announces-customer-implementation/,,"LDO customer implementation and Q2 sales guidance raise were public before entry. No obvious new issuer catalyst found during holding window. Negative continuation."
CRMD,2025-07-31,2025-08-01,2025-09-02,39286.66190173597,false,true,true,earnings_results;m_and_a,https://cormedix.com/cormedix-inc-reports-second-quarter-2025-financial-results-and-provides-business-update/,https://cormedix.com/cormedix-to-acquire-melinta-therapeutics-creating-diversified-specialty-company-with-strong-presence-in-acute-care-settings/,"Positive non-top winner. Q2 results and Melinta acquisition were announced during the trade; this is event-heavy exposure rather than pure momentum."
AEHR,2025-08-29,2025-09-02,2025-10-01,66657.14080187082,true,true,true,contract_order;earnings_calendar,https://www.aehr.com/2025/08/aehr-test-systems-announces-wafer-level-burn-in-and-test-application-evaluation-order-from-leading-ai-processor-supplier/,https://www.aehr.com/2025/09/aehr-test-systems-to-announce-first-quarter-fiscal-2026-financial-results-on-october-6-2025/,"Top winner. AI processor WLBI evaluation order was public before entry; earnings date was announced during trade but results came after exit. Strong catalyst-adjacent momentum."
AEHR,2025-09-30,2025-10-01,2025-10-30,-35910.7617108302,false,true,true,earnings_results;ai_order_narrative,https://www.aehr.com/2025/08/aehr-test-systems-announces-wafer-level-burn-in-and-test-application-evaluation-order-from-leading-ai-processor-supplier/,https://www.aehr.com/2025/10/aehr-test-systems-reports-fiscal-2026-first-quarter-financial-results/,"AI catalyst and earnings date were known before entry; Q1 results occurred during trade. Large loser despite same narrative, suggesting post-catalyst fade/timing risk."
AEHR,2025-10-31,2025-11-03,2025-12-03,-11852.684786540824,false,true,false,earnings_results;ai_order_narrative,https://www.aehr.com/2025/10/aehr-test-systems-reports-fiscal-2026-first-quarter-financial-results/,,"Q1 results and AI narrative were public before entry. No obvious new issuer catalyst found during holding window. Negative continuation."
